dnaA BU_ATCC8492_00001
tag_2 BU_ATCC8492_00095
lacZ_1 BU_ATCC8492_00096
transcript:BU_ATCC8492_00097 BU_ATCC8492_00097
hypBA1 BU_ATCC8492_00098
transcript:BU_ATCC8492_00099 BU_ATCC8492_00099
transcript:BU_ATCC8492_00100 BU_ATCC8492_00100
transcript:BU_ATCC8492_00101 BU_ATCC8492_00101
transcript:BU_ATCC8492_00102 BU_ATCC8492_00102
transcript:BU_ATCC8492_00103 BU_ATCC8492_00103
transcript:BU_ATCC8492_00104 BU_ATCC8492_00104
transcript:BU_ATCC8492_00105 BU_ATCC8492_00105
hemW BU_ATCC8492_00106
transcript:BU_ATCC8492_00107 BU_ATCC8492_00107
transcript:BU_ATCC8492_00108 BU_ATCC8492_00108
transcript:BU_ATCC8492_00109 BU_ATCC8492_00109
transcript:BU_ATCC8492_00110 BU_ATCC8492_00110
transcript:BU_ATCC8492_00111 BU_ATCC8492_00111
btsR_1 BU_ATCC8492_00112
transcript:BU_ATCC8492_00113 BU_ATCC8492_00113
pknD_1 BU_ATCC8492_00114
transcript:BU_ATCC8492_00115 BU_ATCC8492_00115
transcript:BU_ATCC8492_00116 BU_ATCC8492_00116
pknD_2 BU_ATCC8492_00117
transcript:BU_ATCC8492_00118 BU_ATCC8492_00118
transcript:BU_ATCC8492_00119 BU_ATCC8492_00119
pknD_3 BU_ATCC8492_00120
transcript:BU_ATCC8492_00121 BU_ATCC8492_00121
queA_1 BU_ATCC8492_00122
idi BU_ATCC8492_00123
alsT_1 BU_ATCC8492_00124
algC BU_ATCC8492_00125
transcript:BU_ATCC8492_00126 BU_ATCC8492_00126
nrnA BU_ATCC8492_00127
transcript:BU_ATCC8492_00128 BU_ATCC8492_00128
rpe BU_ATCC8492_00129
fmt BU_ATCC8492_00130
clcB BU_ATCC8492_00131
tsaC BU_ATCC8492_00132
transcript:BU_ATCC8492_00133 BU_ATCC8492_00133
xylR BU_ATCC8492_00134
cpdA_1 BU_ATCC8492_00135
transcript:BU_ATCC8492_00136 BU_ATCC8492_00136
transcript:BU_ATCC8492_00137 BU_ATCC8492_00137
transcript:BU_ATCC8492_00138 BU_ATCC8492_00138
transcript:BU_ATCC8492_00139 BU_ATCC8492_00139
transcript:BU_ATCC8492_00140 BU_ATCC8492_00140
transcript:BU_ATCC8492_00141 BU_ATCC8492_00141
transcript:BU_ATCC8492_00142 BU_ATCC8492_00142
transcript:BU_ATCC8492_00143 BU_ATCC8492_00143
bglK BU_ATCC8492_00144
transcript:BU_ATCC8492_00145 BU_ATCC8492_00145
yaaA BU_ATCC8492_00146
recJ BU_ATCC8492_00147
dbpA_1 BU_ATCC8492_00148
bepA_1 BU_ATCC8492_00149
transcript:BU_ATCC8492_00150 BU_ATCC8492_00150
transcript:BU_ATCC8492_00151 BU_ATCC8492_00151
pheA BU_ATCC8492_00152
dapL_1 BU_ATCC8492_00153
kdsA_1 BU_ATCC8492_00154
transcript:BU_ATCC8492_00155 BU_ATCC8492_00155
rcsC_3 BU_ATCC8492_00156
dnaG BU_ATCC8492_00157
folE BU_ATCC8492_00158
transcript:BU_ATCC8492_00159 BU_ATCC8492_00159
tpiA BU_ATCC8492_00160
transcript:BU_ATCC8492_00161 BU_ATCC8492_00161
transcript:BU_ATCC8492_00162 BU_ATCC8492_00162
transcript:BU_ATCC8492_00163 BU_ATCC8492_00163
recG BU_ATCC8492_00164
ispD BU_ATCC8492_00165
yajL BU_ATCC8492_00166
transcript:BU_ATCC8492_00167 BU_ATCC8492_00167
tolR_1 BU_ATCC8492_00168
tolQ_1 BU_ATCC8492_00169
pdxJ BU_ATCC8492_00170
ppnK BU_ATCC8492_00171
transcript:BU_ATCC8492_00172 BU_ATCC8492_00172
transcript:BU_ATCC8492_00173 BU_ATCC8492_00173
transcript:BU_ATCC8492_00174 BU_ATCC8492_00174
transcript:BU_ATCC8492_00175 BU_ATCC8492_00175
transcript:BU_ATCC8492_00176 BU_ATCC8492_00176
rhaS_1 BU_ATCC8492_00177
transcript:BU_ATCC8492_00178 BU_ATCC8492_00178
transcript:BU_ATCC8492_00179 BU_ATCC8492_00179
transcript:BU_ATCC8492_00180 BU_ATCC8492_00180
transcript:BU_ATCC8492_00181 BU_ATCC8492_00181
transcript:BU_ATCC8492_00182 BU_ATCC8492_00182
contig_1_ncRNA28 contig_1_ncRNA28
transcript:BU_ATCC8492_00183 BU_ATCC8492_00183
transcript:BU_ATCC8492_00184 BU_ATCC8492_00184
transcript:BU_ATCC8492_00185 BU_ATCC8492_00185
topB_2 BU_ATCC8492_00186
transcript:BU_ATCC8492_00187 BU_ATCC8492_00187
xerC_2 BU_ATCC8492_00188
transcript:BU_ATCC8492_00189 BU_ATCC8492_00189
transcript:BU_ATCC8492_00190 BU_ATCC8492_00190
transcript:BU_ATCC8492_00191 BU_ATCC8492_00191
transcript:BU_ATCC8492_00192 BU_ATCC8492_00192
transcript:BU_ATCC8492_00193 BU_ATCC8492_00193
transcript:BU_ATCC8492_00194 BU_ATCC8492_00194
transcript:BU_ATCC8492_00195 BU_ATCC8492_00195
contig_1_ncRNA26 contig_1_ncRNA26
transcript:BU_ATCC8492_00196 BU_ATCC8492_00196
contig_1_ncRNA17 contig_1_ncRNA17
transcript:BU_ATCC8492_00197 BU_ATCC8492_00197
transcript:BU_ATCC8492_00198 BU_ATCC8492_00198
transcript:BU_ATCC8492_00199 BU_ATCC8492_00199
transcript:BU_ATCC8492_00200 BU_ATCC8492_00200
transcript:BU_ATCC8492_00201 BU_ATCC8492_00201
transcript:BU_ATCC8492_00202 BU_ATCC8492_00202
transcript:BU_ATCC8492_00203 BU_ATCC8492_00203
transcript:BU_ATCC8492_00204 BU_ATCC8492_00204
transcript:BU_ATCC8492_00205 BU_ATCC8492_00205
transcript:BU_ATCC8492_00206 BU_ATCC8492_00206
transcript:BU_ATCC8492_00207 BU_ATCC8492_00207
transcript:BU_ATCC8492_00208 BU_ATCC8492_00208
transcript:BU_ATCC8492_00209 BU_ATCC8492_00209
transcript:BU_ATCC8492_00210 BU_ATCC8492_00210
transcript:BU_ATCC8492_00211 BU_ATCC8492_00211
transcript:BU_ATCC8492_00212 BU_ATCC8492_00212
transcript:BU_ATCC8492_00213 BU_ATCC8492_00213
transcript:BU_ATCC8492_00214 BU_ATCC8492_00214
transcript:BU_ATCC8492_00215 BU_ATCC8492_00215
transcript:BU_ATCC8492_00216 BU_ATCC8492_00216
transcript:BU_ATCC8492_00217 BU_ATCC8492_00217
transcript:BU_ATCC8492_00218 BU_ATCC8492_00218
transcript:BU_ATCC8492_00219 BU_ATCC8492_00219
transcript:BU_ATCC8492_00220 BU_ATCC8492_00220
transcript:BU_ATCC8492_00221 BU_ATCC8492_00221
transcript:BU_ATCC8492_00222 BU_ATCC8492_00222
transcript:BU_ATCC8492_00223 BU_ATCC8492_00223
noc BU_ATCC8492_00224
transcript:BU_ATCC8492_00225 BU_ATCC8492_00225
transcript:BU_ATCC8492_00226 BU_ATCC8492_00226
traC BU_ATCC8492_00227
transcript:BU_ATCC8492_00228 BU_ATCC8492_00228
transcript:BU_ATCC8492_00229 BU_ATCC8492_00229
transcript:BU_ATCC8492_00230 BU_ATCC8492_00230
transcript:BU_ATCC8492_00231 BU_ATCC8492_00231
transcript:BU_ATCC8492_00232 BU_ATCC8492_00232
transcript:BU_ATCC8492_00233 BU_ATCC8492_00233
transcript:BU_ATCC8492_00234 BU_ATCC8492_00234
transcript:BU_ATCC8492_00235 BU_ATCC8492_00235
transcript:BU_ATCC8492_00236 BU_ATCC8492_00236
transcript:BU_ATCC8492_00237 BU_ATCC8492_00237
transcript:BU_ATCC8492_00238 BU_ATCC8492_00238
xerC_3 BU_ATCC8492_00239
algU_1 BU_ATCC8492_00240
transcript:BU_ATCC8492_00241 BU_ATCC8492_00241
transcript:BU_ATCC8492_00242 BU_ATCC8492_00242
transcript:BU_ATCC8492_00243 BU_ATCC8492_00243
transcript:BU_ATCC8492_00244 BU_ATCC8492_00244
transcript:BU_ATCC8492_00245 BU_ATCC8492_00245
axe7A_1 BU_ATCC8492_00246
transcript:BU_ATCC8492_00247 BU_ATCC8492_00247
uidA BU_ATCC8492_00248
lacZ_2 BU_ATCC8492_00249
transcript:BU_ATCC8492_00250 BU_ATCC8492_00250
transcript:BU_ATCC8492_00251 BU_ATCC8492_00251
transcript:BU_ATCC8492_00252 BU_ATCC8492_00252
transcript:BU_ATCC8492_00253 BU_ATCC8492_00253
transcript:BU_ATCC8492_00254 BU_ATCC8492_00254
transcript:BU_ATCC8492_00255 BU_ATCC8492_00255
transcript:BU_ATCC8492_00256 BU_ATCC8492_00256
tri1_1 BU_ATCC8492_00257
mdh BU_ATCC8492_00258
transcript:BU_ATCC8492_00259 BU_ATCC8492_00259
transcript:BU_ATCC8492_00260 BU_ATCC8492_00260
transcript:BU_ATCC8492_00261 BU_ATCC8492_00261
transcript:BU_ATCC8492_00262 BU_ATCC8492_00262
transcript:BU_ATCC8492_00263 BU_ATCC8492_00263
transcript:BU_ATCC8492_00264 BU_ATCC8492_00264
resA_1 BU_ATCC8492_00265
transcript:BU_ATCC8492_00266 BU_ATCC8492_00266
transcript:BU_ATCC8492_00267 BU_ATCC8492_00267
transcript:BU_ATCC8492_00268 BU_ATCC8492_00268
transcript:BU_ATCC8492_00269 BU_ATCC8492_00269
transcript:BU_ATCC8492_00270 BU_ATCC8492_00270
trmB BU_ATCC8492_00271
ilvE BU_ATCC8492_00272
transcript:BU_ATCC8492_00273 BU_ATCC8492_00273
transcript:BU_ATCC8492_00274 BU_ATCC8492_00274
xseA BU_ATCC8492_00275
transcript:BU_ATCC8492_00276 BU_ATCC8492_00276
mnmA_1 BU_ATCC8492_00277
transcript:BU_ATCC8492_00278 BU_ATCC8492_00278
transcript:BU_ATCC8492_00279 BU_ATCC8492_00279
transcript:BU_ATCC8492_00280 BU_ATCC8492_00280
transcript:BU_ATCC8492_00281 BU_ATCC8492_00281
transcript:BU_ATCC8492_00282 BU_ATCC8492_00282
transcript:BU_ATCC8492_00283 BU_ATCC8492_00283
wecH_1 BU_ATCC8492_00284
transcript:BU_ATCC8492_00285 BU_ATCC8492_00285
transcript:BU_ATCC8492_00286 BU_ATCC8492_00286
xsa_1 BU_ATCC8492_00287
transcript:BU_ATCC8492_00288 BU_ATCC8492_00288
transcript:BU_ATCC8492_00289 BU_ATCC8492_00289
transcript:BU_ATCC8492_00290 BU_ATCC8492_00290
transcript:BU_ATCC8492_00291 BU_ATCC8492_00291
transcript:BU_ATCC8492_00292 BU_ATCC8492_00292
transcript:BU_ATCC8492_00293 BU_ATCC8492_00293
transcript:BU_ATCC8492_00294 BU_ATCC8492_00294
transcript:BU_ATCC8492_00295 BU_ATCC8492_00295
transcript:BU_ATCC8492_00296 BU_ATCC8492_00296
transcript:BU_ATCC8492_00297 BU_ATCC8492_00297
transcript:BU_ATCC8492_00298 BU_ATCC8492_00298
transcript:BU_ATCC8492_00299 BU_ATCC8492_00299
transcript:BU_ATCC8492_00300 BU_ATCC8492_00300
iolW BU_ATCC8492_00301
nagA BU_ATCC8492_00302
transcript:BU_ATCC8492_00303 BU_ATCC8492_00303
sigW_1 BU_ATCC8492_00304
transcript:BU_ATCC8492_00305 BU_ATCC8492_00305
transcript:BU_ATCC8492_00306 BU_ATCC8492_00306
transcript:BU_ATCC8492_00307 BU_ATCC8492_00307
nagZ_1 BU_ATCC8492_00308
cpdA_2 BU_ATCC8492_00309
ispF BU_ATCC8492_00310
mro_1 BU_ATCC8492_00311
chuR_1 BU_ATCC8492_00312
betC BU_ATCC8492_00313
atsA_1 BU_ATCC8492_00314
transcript:BU_ATCC8492_00315 BU_ATCC8492_00315
transcript:BU_ATCC8492_00316 BU_ATCC8492_00316
lacZ_3 BU_ATCC8492_00317
transcript:BU_ATCC8492_00318 BU_ATCC8492_00318
transcript:BU_ATCC8492_00319 BU_ATCC8492_00319
transcript:BU_ATCC8492_00320 BU_ATCC8492_00320
transcript:BU_ATCC8492_00321 BU_ATCC8492_00321
transcript:BU_ATCC8492_00322 BU_ATCC8492_00322
transcript:BU_ATCC8492_00323 BU_ATCC8492_00323
transcript:BU_ATCC8492_00324 BU_ATCC8492_00324
atsA_2 BU_ATCC8492_00325
transcript:BU_ATCC8492_00326 BU_ATCC8492_00326
transcript:BU_ATCC8492_00327 BU_ATCC8492_00327
rcsC_4 BU_ATCC8492_00328
transcript:BU_ATCC8492_00329 BU_ATCC8492_00329
transcript:BU_ATCC8492_00330 BU_ATCC8492_00330
transcript:BU_ATCC8492_00331 BU_ATCC8492_00331
transcript:BU_ATCC8492_00332 BU_ATCC8492_00332
ycgM BU_ATCC8492_00333
rex BU_ATCC8492_00334
yciH BU_ATCC8492_00335
tsf BU_ATCC8492_00336
rpsB BU_ATCC8492_00337
rpsI BU_ATCC8492_00338
rplM BU_ATCC8492_00339
transcript:BU_ATCC8492_00340 BU_ATCC8492_00340
asnS BU_ATCC8492_00341
transcript:BU_ATCC8492_00342 BU_ATCC8492_00342
purB BU_ATCC8492_00343
contig_1.tRNA64-ValTAC contig_1.trna64
contig_1.tRNA63-ValTAC contig_1.trna63
transcript:BU_ATCC8492_00346 BU_ATCC8492_00346
carB_1 BU_ATCC8492_00347
transcript:BU_ATCC8492_00348 BU_ATCC8492_00348
transcript:BU_ATCC8492_00349 BU_ATCC8492_00349
trpS2 BU_ATCC8492_00350
transcript:BU_ATCC8492_00351 BU_ATCC8492_00351
mutL BU_ATCC8492_00352
transcript:BU_ATCC8492_00353 BU_ATCC8492_00353
lptD_1 BU_ATCC8492_00354
surA_1 BU_ATCC8492_00355
transcript:BU_ATCC8492_00356 BU_ATCC8492_00356
surA_2 BU_ATCC8492_00357
guaB BU_ATCC8492_00358
recQ_1 BU_ATCC8492_00359
clpX BU_ATCC8492_00360
clpP BU_ATCC8492_00361
tig BU_ATCC8492_00362
transcript:BU_ATCC8492_00363 BU_ATCC8492_00363
lptB BU_ATCC8492_00364
mlaE BU_ATCC8492_00365
mkl BU_ATCC8492_00366
der BU_ATCC8492_00367
era BU_ATCC8492_00368
fabH_1 BU_ATCC8492_00369
rpmF BU_ATCC8492_00370
transcript:BU_ATCC8492_00371 BU_ATCC8492_00371
contig_1_ncRNA3 contig_1_ncRNA3
contig_1.tRNA62-AlaTGC contig_1.trna62
contig_1.tRNA61-IleGAT contig_1.trna61
contig_1_ncRNA6 contig_1_ncRNA6
transcript:BU_ATCC8492_00377 BU_ATCC8492_00377
transcript:BU_ATCC8492_00378 BU_ATCC8492_00378
transcript:BU_ATCC8492_00379 BU_ATCC8492_00379
transcript:BU_ATCC8492_00380 BU_ATCC8492_00380
transcript:BU_ATCC8492_00381 BU_ATCC8492_00381
transcript:BU_ATCC8492_00382 BU_ATCC8492_00382
transcript:BU_ATCC8492_00383 BU_ATCC8492_00383
transcript:BU_ATCC8492_00384 BU_ATCC8492_00384
rcsC_5 BU_ATCC8492_00385
rcsC_6 BU_ATCC8492_00386
transcript:BU_ATCC8492_00387 BU_ATCC8492_00387
transcript:BU_ATCC8492_00388 BU_ATCC8492_00388
ribBA BU_ATCC8492_00389
transcript:BU_ATCC8492_00390 BU_ATCC8492_00390
transcript:BU_ATCC8492_00391 BU_ATCC8492_00391
contig_1.tRNA1-MetCAT contig_1.trna1
transcript:BU_ATCC8492_00393 BU_ATCC8492_00393
emrA_1 BU_ATCC8492_00394
transcript:BU_ATCC8492_00395 BU_ATCC8492_00395
rhaS_2 BU_ATCC8492_00396
srrB BU_ATCC8492_00397
kdpD BU_ATCC8492_00398
transcript:BU_ATCC8492_00399 BU_ATCC8492_00399
kdpC BU_ATCC8492_00400
kdpB BU_ATCC8492_00401
kdpA BU_ATCC8492_00402
transcript:BU_ATCC8492_00403 BU_ATCC8492_00403
atoC_1 BU_ATCC8492_00404
lysC_1 BU_ATCC8492_00405
transcript:BU_ATCC8492_00406 BU_ATCC8492_00406
bfce_1 BU_ATCC8492_00407
yagG BU_ATCC8492_00408
transcript:BU_ATCC8492_00409 BU_ATCC8492_00409
manA_1 BU_ATCC8492_00410
transcript:BU_ATCC8492_00411 BU_ATCC8492_00411
transcript:BU_ATCC8492_00412 BU_ATCC8492_00412
transcript:BU_ATCC8492_00413 BU_ATCC8492_00413
transcript:BU_ATCC8492_00414 BU_ATCC8492_00414
transcript:BU_ATCC8492_00415 BU_ATCC8492_00415
rutC_1 BU_ATCC8492_00416
transcript:BU_ATCC8492_00417 BU_ATCC8492_00417
transcript:BU_ATCC8492_00418 BU_ATCC8492_00418
transcript:BU_ATCC8492_00419 BU_ATCC8492_00419
transcript:BU_ATCC8492_00420 BU_ATCC8492_00420
transcript:BU_ATCC8492_00421 BU_ATCC8492_00421
susC_1 BU_ATCC8492_00422
transcript:BU_ATCC8492_00423 BU_ATCC8492_00423
transcript:BU_ATCC8492_00424 BU_ATCC8492_00424
transcript:BU_ATCC8492_00425 BU_ATCC8492_00425
transcript:BU_ATCC8492_00426 BU_ATCC8492_00426
transcript:BU_ATCC8492_00427 BU_ATCC8492_00427
eglS BU_ATCC8492_00428
transcript:BU_ATCC8492_00429 BU_ATCC8492_00429
axe7A_2 BU_ATCC8492_00430
rhaS_3 BU_ATCC8492_00431
transcript:BU_ATCC8492_00432 BU_ATCC8492_00432
cbpA BU_ATCC8492_00433
gpr BU_ATCC8492_00434
transcript:BU_ATCC8492_00435 BU_ATCC8492_00435
transcript:BU_ATCC8492_00436 BU_ATCC8492_00436
transcript:BU_ATCC8492_00437 BU_ATCC8492_00437
yfeW_1 BU_ATCC8492_00438
yfeW_2 BU_ATCC8492_00439
yfkN_1 BU_ATCC8492_00440
transcript:BU_ATCC8492_00441 BU_ATCC8492_00441
rplS BU_ATCC8492_00442
glcK_1 BU_ATCC8492_00443
yknY_1 BU_ATCC8492_00444
macB_1 BU_ATCC8492_00445
macB_2 BU_ATCC8492_00446
macA_1 BU_ATCC8492_00447
oprJ BU_ATCC8492_00448
transcript:BU_ATCC8492_00449 BU_ATCC8492_00449
transcript:BU_ATCC8492_00450 BU_ATCC8492_00450
cvfB BU_ATCC8492_00451
mdh_2 BU_ATCC8492_00452
contig_1.tRNA2-PheGAA contig_1.trna2
contig_1.tRNA3-ProCGG contig_1.trna3
rhaS_4 BU_ATCC8492_00455
transcript:BU_ATCC8492_00456 BU_ATCC8492_00456
fucO BU_ATCC8492_00457
rhaD BU_ATCC8492_00458
rhaT BU_ATCC8492_00459
rhaA BU_ATCC8492_00460
rhaB BU_ATCC8492_00461
argR BU_ATCC8492_00462
transcript:BU_ATCC8492_00463 BU_ATCC8492_00463
argG BU_ATCC8492_00464
transcript:BU_ATCC8492_00465 BU_ATCC8492_00465
argC BU_ATCC8492_00466
lysJ BU_ATCC8492_00467
proC BU_ATCC8492_00468
transcript:BU_ATCC8492_00469 BU_ATCC8492_00469
acsA BU_ATCC8492_00470
transcript:BU_ATCC8492_00471 BU_ATCC8492_00471
contig_1.tRNA60-LeuTAA contig_1.trna60
contig_1.tRNA59-GlyGCC contig_1.trna59
argH BU_ATCC8492_00474
transcript:BU_ATCC8492_00475 BU_ATCC8492_00475
pyrE BU_ATCC8492_00476
recX BU_ATCC8492_00477
prmC BU_ATCC8492_00478
ribD BU_ATCC8492_00479
transcript:BU_ATCC8492_00480 BU_ATCC8492_00480
ispU BU_ATCC8492_00481
yaeT BU_ATCC8492_00482
transcript:BU_ATCC8492_00483 BU_ATCC8492_00483
transcript:BU_ATCC8492_00484 BU_ATCC8492_00484
murI BU_ATCC8492_00485
transcript:BU_ATCC8492_00486 BU_ATCC8492_00486
proB BU_ATCC8492_00487
proA BU_ATCC8492_00488
argF' BU_ATCC8492_00489
glpE BU_ATCC8492_00490
transcript:BU_ATCC8492_00491 BU_ATCC8492_00491
transcript:BU_ATCC8492_00492 BU_ATCC8492_00492
ddlB BU_ATCC8492_00493
rluD_1 BU_ATCC8492_00494
transcript:BU_ATCC8492_00495 BU_ATCC8492_00495
transcript:BU_ATCC8492_00496 BU_ATCC8492_00496
efp BU_ATCC8492_00497
transcript:BU_ATCC8492_00498 BU_ATCC8492_00498
transcript:BU_ATCC8492_00499 BU_ATCC8492_00499
transcript:BU_ATCC8492_00500 BU_ATCC8492_00500
transcript:BU_ATCC8492_00501 BU_ATCC8492_00501
sufT BU_ATCC8492_00502
lpxH BU_ATCC8492_00503
chbG BU_ATCC8492_00504
transcript:BU_ATCC8492_00505 BU_ATCC8492_00505
phoB_1 BU_ATCC8492_00506
ackA BU_ATCC8492_00507
pta BU_ATCC8492_00508
transcript:BU_ATCC8492_00509 BU_ATCC8492_00509
transcript:BU_ATCC8492_00510 BU_ATCC8492_00510
yohK BU_ATCC8492_00511
transcript:BU_ATCC8492_00512 BU_ATCC8492_00512
eis BU_ATCC8492_00513
pmbA BU_ATCC8492_00514
tldD BU_ATCC8492_00515
cdaA BU_ATCC8492_00516
folP BU_ATCC8492_00517
murF BU_ATCC8492_00518
transcript:BU_ATCC8492_00519 BU_ATCC8492_00519
transcript:BU_ATCC8492_00520 BU_ATCC8492_00520
transcript:BU_ATCC8492_00521 BU_ATCC8492_00521
transcript:BU_ATCC8492_00522 BU_ATCC8492_00522
lolD BU_ATCC8492_00523
tcdA BU_ATCC8492_00524
kefB_1 BU_ATCC8492_00525
asd BU_ATCC8492_00526
transcript:BU_ATCC8492_00527 BU_ATCC8492_00527
transcript:BU_ATCC8492_00528 BU_ATCC8492_00528
susC_2 BU_ATCC8492_00529
transcript:BU_ATCC8492_00530 BU_ATCC8492_00530
transcript:BU_ATCC8492_00531 BU_ATCC8492_00531
transcript:BU_ATCC8492_00532 BU_ATCC8492_00532
transcript:BU_ATCC8492_00533 BU_ATCC8492_00533
transcript:BU_ATCC8492_00534 BU_ATCC8492_00534
transcript:BU_ATCC8492_00535 BU_ATCC8492_00535
transcript:BU_ATCC8492_00536 BU_ATCC8492_00536
transcript:BU_ATCC8492_00537 BU_ATCC8492_00537
transcript:BU_ATCC8492_00538 BU_ATCC8492_00538
transcript:BU_ATCC8492_00539 BU_ATCC8492_00539
transcript:BU_ATCC8492_00540 BU_ATCC8492_00540
transcript:BU_ATCC8492_00541 BU_ATCC8492_00541
bamB BU_ATCC8492_00542
transcript:BU_ATCC8492_00543 BU_ATCC8492_00543
transcript:BU_ATCC8492_00544 BU_ATCC8492_00544
transcript:BU_ATCC8492_00545 BU_ATCC8492_00545
ampG_1 BU_ATCC8492_00546
transcript:BU_ATCC8492_00547 BU_ATCC8492_00547
transcript:BU_ATCC8492_00548 BU_ATCC8492_00548
